PP,EOD,SEPD
1,"Sunday, January 10, 2016","Saturday, January 23, 2016"
2,"Sunday, January 24, 2016","Saturday, February 6, 2016"
3,"Sunday, February 7, 2016","Saturday, February 20, 2016"
4,"Sunday, February 21, 2016","Saturday, March 5, 2016"
5,"Sunday, March 6, 2016","Saturday, March 19, 2016"
6,"Sunday, March 20, 2016","Saturday, April 2, 2016"
7,"Sunday, April 3, 2016","Saturday, April 16, 2016"
8,"Sunday, April 17, 2016","Saturday, April 30, 2016"
9,"Sunday, May 1, 2016","Saturday, May 14, 2016"
10,"Sunday, May 15, 2016","Saturday, May 28, 2016"
11,"Sunday, May 29, 2016","Saturday, June 11, 2016"
12,"Sunday, June 12, 2016","Saturday, June 25, 2016"
13,"Sunday, June 26, 2016","Saturday, July 9, 2016"
14,"Sunday, July 10, 2016","Saturday, July 23, 2016"
15,"Sunday, July 24, 2016","Saturday, August 6, 2016"
16,"Sunday, August 7, 2016","Saturday, August 20, 2016"
17,"Sunday, August 21, 2016","Saturday, September 3, 2016"
18,"Sunday, September 4, 2016","Saturday, September 17, 2016"
19,"Sunday, September 18, 2016","Saturday, October 1, 2016"
20,"Sunday, October 2, 2016","Saturday, October 15, 2016"
21,"Sunday, October 16, 2016","Saturday, October 29, 2016"
22,"Sunday, October 30, 2016","Saturday, November 12, 2016"
23,"Sunday, November 13, 2016","Saturday, November 26, 2016"
24,"Sunday, November 27, 2016","Saturday, December 10, 2016"
25,"Sunday, December 11, 2016","Saturday, December 24, 2016"
26,"Sunday, December 25, 2016","Saturday, January 7, 2017"
1,"Sunday, January 8, 2017","Saturday, January 21, 2017"
2,"Sunday, January 22, 2017","Saturday, February 4, 2017"
3,"Sunday, February 5, 2017","Saturday, February 18, 2017"
4,"Sunday, February 19, 2017","Saturday, March 4, 2017"
5,"Sunday, March 5, 2017","Saturday, March 18, 2017"
6,"Sunday, March 19, 2017","Saturday, April 1, 2017"
7,"Sunday, April 2, 2017","Saturday, April 15, 2017"
8,"Sunday, April 16, 2017","Saturday, April 29, 2017"
9,"Sunday, April 30, 2017","Saturday, May 13, 2017"
10,"Sunday, May 14, 2017","Saturday, May 27, 2017"
11,"Sunday, May 28, 2017","Saturday, June 10, 2017"
12,"Sunday, June 11, 2017","Saturday, June 24, 2017"
13,"Sunday, June 25, 2017","Saturday, July 8, 2017"
14,"Sunday, July 9, 2017","Saturday, July 22, 2017"
15,"Sunday, July 23, 2017","Saturday, August 5, 2017"
16,"Sunday, August 6, 2017","Saturday, August 19, 2017"
17,"Sunday, August 20, 2017","Saturday, September 2, 2017"
18,"Sunday, September 3, 2017","Saturday, September 16, 2017"
19,"Sunday, September 17, 2017","Saturday, September 30, 2017"
20,"Sunday, October 1, 2017","Saturday, October 14, 2017"
21,"Sunday, October 15, 2017","Saturday, October 28, 2017"
22,"Sunday, October 29, 2017","Saturday, November 11, 2017"
23,"Sunday, November 12, 2017","Saturday, November 25, 2017"
24,"Sunday, November 26, 2017","Saturday, December 9, 2017"
25,"Sunday, December 10, 2017","Saturday, December 23, 2017"
26,"Sunday, December 24, 2017","Saturday, January 6, 2018"
1,"Sunday, January 7, 2018","Saturday, January 20, 2018"
2,"Sunday, January 21, 2018","Saturday, February 3, 2018"
3,"Sunday, February 4, 2018","Saturday, February 17, 2018"
4,"Sunday, February 18, 2018","Saturday, March 3, 2018"
5,"Sunday, March 4, 2018","Saturday, March 17, 2018"
6,"Sunday, March 18, 2018","Saturday, March 31, 2018"
7,"Sunday, April 1, 2018","Saturday, April 14, 2018"
8,"Sunday, April 15, 2018","Saturday, April 28, 2018"
9,"Sunday, April 29, 2018","Saturday, May 12, 2018"
10,"Sunday, May 13, 2018","Saturday, May 26, 2018"
11,"Sunday, May 27, 2018","Saturday, June 9, 2018"
12,"Sunday, June 10, 2018","Saturday, June 23, 2018"
13,"Sunday, June 24, 2018","Saturday, July 7, 2018"
14,"Sunday, July 8, 2018","Saturday, July 21, 2018"
15,"Sunday, July 22, 2018","Saturday, August 4, 2018"
16,"Sunday, August 5, 2018","Saturday, August 18, 2018"
17,"Sunday, August 19, 2018","Saturday, September 1, 2018"
18,"Sunday, September 2, 2018","Saturday, September 15, 2018"
19,"Sunday, September 16, 2018","Saturday, September 29, 2018"
20,"Sunday, September 30, 2018","Saturday, October 13, 2018"
21,"Sunday, October 14, 2018","Saturday, October 27, 2018"
22,"Sunday, October 28, 2018","Saturday, November 10, 2018"
23,"Sunday, November 11, 2018","Saturday, November 24, 2018"
24,"Sunday, November 25, 2018","Saturday, December 8, 2018"
25,"Sunday, December 9, 2018","Saturday, December 22, 2018"
26,"Sunday, December 23, 2018","Saturday, January 5, 2019"
1,"Sunday, January 6, 2019","Saturday, January 19, 2019"
2,"Sunday, January 20, 2019","Saturday, February 2, 2019"
3,"Sunday, February 3, 2019","Saturday, February 16, 2019"
4,"Sunday, February 17, 2019","Saturday, March 2, 2019"
5,"Sunday, March 3, 2019","Saturday, March 16, 2019"
6,"Sunday, March 17, 2019","Saturday, March 30, 2019"
7,"Sunday, March 31, 2019","Saturday, April 13, 2019"
8,"Sunday, April 14, 2019","Saturday, April 27, 2019"
9,"Sunday, April 28, 2019","Saturday, May 11, 2019"
10,"Sunday, May 12, 2019","Saturday, May 25, 2019"
11,"Sunday, May 26, 2019","Saturday, June 8, 2019"
12,"Sunday, June 9, 2019","Saturday, June 22, 2019"
13,"Sunday, June 23, 2019","Saturday, July 6, 2019"
14,"Sunday, July 7, 2019","Saturday, July 20, 2019"
15,"Sunday, July 21, 2019","Saturday, August 3, 2019"
16,"Sunday, August 4, 2019","Saturday, August 17, 2019"
17,"Sunday, August 18, 2019","Saturday, August 31, 2019"
18,"Sunday, September 1, 2019","Saturday, September 14, 2019"
19,"Sunday, September 15, 2019","Saturday, September 28, 2019"
20,"Sunday, September 29, 2019","Saturday, October 12, 2019"
21,"Sunday, October 13, 2019","Saturday, October 26, 2019"
22,"Sunday, October 27, 2019","Saturday, November 9, 2019"
23,"Sunday, November 10, 2019","Saturday, November 23, 2019"
24,"Sunday, November 24, 2019","Saturday, December 7, 2019"
25,"Sunday, December 8, 2019","Saturday, December 21, 2019"
26,"Sunday, December 22, 2019","Saturday, January 4, 2020"
1,"Sunday, January 5, 2020","Saturday, January 18, 2020"
2,"Sunday, January 19, 2020","Saturday, February 1, 2020"
3,"Sunday, February 2, 2020","Saturday, February 15, 2020"
4,"Sunday, February 16, 2020","Saturday, February 29, 2020"
5,"Sunday, March 1, 2020","Saturday, March 14, 2020"
6,"Sunday, March 15, 2020","Saturday, March 28, 2020"
7,"Sunday, March 29, 2020","Saturday, April 11, 2020"
8,"Sunday, April 12, 2020","Saturday, April 25, 2020"
9,"Sunday, April 26, 2020","Saturday, May 9, 2020"
10,"Sunday, May 10, 2020","Saturday, May 23, 2020"
11,"Sunday, May 24, 2020","Saturday, June 6, 2020"
12,"Sunday, June 7, 2020","Saturday, June 20, 2020"
13,"Sunday, June 21, 2020","Saturday, July 4, 2020"
14,"Sunday, July 5, 2020","Saturday, July 18, 2020"
15,"Sunday, July 19, 2020","Saturday, August 1, 2020"
16,"Sunday, August 2, 2020","Saturday, August 15, 2020"
17,"Sunday, August 16, 2020","Saturday, August 29, 2020"
18,"Sunday, August 30, 2020","Saturday, September 12, 2020"
19,"Sunday, September 13, 2020","Saturday, September 26, 2020"
20,"Sunday, September 27, 2020","Saturday, October 10, 2020"
21,"Sunday, October 11, 2020","Saturday, October 24, 2020"
22,"Sunday, October 25, 2020","Saturday, November 7, 2020"
23,"Sunday, November 8, 2020","Saturday, November 21, 2020"
24,"Sunday, November 22, 2020","Saturday, December 5, 2020"
25,"Sunday, December 6, 2020","Saturday, December 19, 2020"
26,"Sunday, December 20, 2020","Saturday, January 2, 2021"
1,"Sunday, January 3, 2021","Saturday, January 16, 2021"
2,"Sunday, January 17, 2021","Saturday, January 30, 2021"
3,"Sunday, January 31, 2021","Saturday, February 13, 2021"
4,"Sunday, February 14, 2021","Saturday, February 27, 2021"
5,"Sunday, February 28, 2021","Saturday, March 13, 2021"
6,"Sunday, March 14, 2021","Saturday, March 27, 2021"
7,"Sunday, March 28, 2021","Saturday, April 10, 2021"
8,"Sunday, April 11, 2021","Saturday, April 24, 2021"
9,"Sunday, April 25, 2021","Saturday, May 8, 2021"
10,"Sunday, May 9, 2021","Saturday, May 22, 2021"
11,"Sunday, May 23, 2021","Saturday, June 5, 2021"
12,"Sunday, June 6, 2021","Saturday, June 19, 2021"
13,"Sunday, June 20, 2021","Saturday, July 3, 2021"
14,"Sunday, July 4, 2021","Saturday, July 17, 2021"
15,"Sunday, July 18, 2021","Saturday, July 31, 2021"
16,"Sunday, August 1, 2021","Saturday, August 14, 2021"
17,"Sunday, August 15, 2021","Saturday, August 28, 2021"
18,"Sunday, August 29, 2021","Saturday, September 11, 2021"
19,"Sunday, September 12, 2021","Saturday, September 25, 2021"
20,"Sunday, September 26, 2021","Saturday, October 9, 2021"
21,"Sunday, October 10, 2021","Saturday, October 23, 2021"
22,"Sunday, October 24, 2021","Saturday, November 6, 2021"
23,"Sunday, November 7, 2021","Saturday, November 20, 2021"
24,"Sunday, November 21, 2021","Saturday, December 4, 2021"
25,"Sunday, December 5, 2021","Saturday, December 18, 2021"
26,"Sunday, December 19, 2021","Saturday, January 1, 2022"
1,"Sunday, January 2, 2022","Saturday, January 15, 2022"
2,"Sunday, January 16, 2022","Saturday, January 29, 2022"
3,"Sunday, January 30, 2022","Saturday, February 12, 2022"
4,"Sunday, February 13, 2022","Saturday, February 26, 2022"
5,"Sunday, February 27, 2022","Saturday, March 12, 2022"
6,"Sunday, March 13, 2022","Saturday, March 26, 2022"
7,"Sunday, March 27, 2022","Saturday, April 9, 2022"
8,"Sunday, April 10, 2022","Saturday, April 23, 2022"
9,"Sunday, April 24, 2022","Saturday, May 7, 2022"
10,"Sunday, May 8, 2022","Saturday, May 21, 2022"
11,"Sunday, May 22, 2022","Saturday, June 4, 2022"
12,"Sunday, June 5, 2022","Saturday, June 18, 2022"
13,"Sunday, June 19, 2022","Saturday, July 2, 2022"
14,"Sunday, July 3, 2022","Saturday, July 16, 2022"
15,"Sunday, July 17, 2022","Saturday, July 30, 2022"
16,"Sunday, July 31, 2022","Saturday, August 13, 2022"
17,"Sunday, August 14, 2022","Saturday, August 27, 2022"
18,"Sunday, August 28, 2022","Saturday, September 10, 2022"
19,"Sunday, September 11, 2022","Saturday, September 24, 2022"
20,"Sunday, September 25, 2022","Saturday, October 8, 2022"
21,"Sunday, October 9, 2022","Saturday, October 22, 2022"
22,"Sunday, October 23, 2022","Saturday, November 5, 2022"
23,"Sunday, November 6, 2022","Saturday, November 19, 2022"
24,"Sunday, November 20, 2022","Saturday, December 3, 2022"
25,"Sunday, December 4, 2022","Saturday, December 17, 2022"
26,"Sunday, December 18, 2022","Saturday, December 31, 2022"
1,"Sunday, January 1, 2023","Saturday, January 14, 2023"
2,"Sunday, January 15, 2023","Saturday, January 28, 2023"
3,"Sunday, January 29, 2023","Saturday, February 11, 2023"
4,"Sunday, February 12, 2023","Saturday, February 25, 2023"
5,"Sunday, February 26, 2023","Saturday, March 11, 2023"
6,"Sunday, March 12, 2023","Saturday, March 25, 2023"
7,"Sunday, March 26, 2023","Saturday, April 8, 2023"
8,"Sunday, April 9, 2023","Saturday, April 22, 2023"
9,"Sunday, April 23, 2023","Saturday, May 6, 2023"
10,"Sunday, May 7, 2023","Saturday, May 20, 2023"
11,"Sunday, May 21, 2023","Saturday, June 3, 2023"
12,"Sunday, June 4, 2023","Saturday, June 17, 2023"
13,"Sunday, June 18, 2023","Saturday, July 1, 2023"
14,"Sunday, July 2, 2023","Saturday, July 15, 2023"
15,"Sunday, July 16, 2023","Saturday, July 29, 2023"
16,"Sunday, July 30, 2023","Saturday, August 12, 2023"
17,"Sunday, August 13, 2023","Saturday, August 26, 2023"
18,"Sunday, August 27, 2023","Saturday, September 9, 2023"
19,"Sunday, September 10, 2023","Saturday, September 23, 2023"
20,"Sunday, September 24, 2023","Saturday, October 7, 2023"
21,"Sunday, October 8, 2023","Saturday, October 21, 2023"
22,"Sunday, October 22, 2023","Saturday, November 4, 2023"
23,"Sunday, November 5, 2023","Saturday, November 18, 2023"
24,"Sunday, November 19, 2023","Saturday, December 2, 2023"
25,"Sunday, December 3, 2023","Saturday, December 16, 2023"
26,"Sunday, December 17, 2023","Saturday, December 30, 2023"
1,"Sunday, December 31, 2023","Saturday, January 13, 2024"
2,"Sunday, January 14, 2024","Saturday, January 27, 2024"
3,"Sunday, January 28, 2024","Saturday, February 10, 2024"
4,"Sunday, February 11, 2024","Saturday, February 24, 2024"
5,"Sunday, February 25, 2024","Saturday, March 9, 2024"
6,"Sunday, March 10, 2024","Saturday, March 23, 2024"
7,"Sunday, March 24, 2024","Saturday, April 6, 2024"
8,"Sunday, April 7, 2024","Saturday, April 20, 2024"
9,"Sunday, April 21, 2024","Saturday, May 4, 2024"
10,"Sunday, May 5, 2024","Saturday, May 18, 2024"
11,"Sunday, May 19, 2024","Saturday, June 1, 2024"
12,"Sunday, June 2, 2024","Saturday, June 15, 2024"
13,"Sunday, June 16, 2024","Saturday, June 29, 2024"
14,"Sunday, June 30, 2024","Saturday, July 13, 2024"
15,"Sunday, July 14, 2024","Saturday, July 27, 2024"
16,"Sunday, July 28, 2024","Saturday, August 10, 2024"
17,"Sunday, August 11, 2024","Saturday, August 24, 2024"
18,"Sunday, August 25, 2024","Saturday, September 7, 2024"
19,"Sunday, September 8, 2024","Saturday, September 21, 2024"
20,"Sunday, September 22, 2024","Saturday, October 5, 2024"
21,"Sunday, October 6, 2024","Saturday, October 19, 2024"
22,"Sunday, October 20, 2024","Saturday, November 2, 2024"
23,"Sunday, November 3, 2024","Saturday, November 16, 2024"
24,"Sunday, November 17, 2024","Saturday, November 30, 2024"
25,"Sunday, December 1, 2024","Saturday, December 14, 2024"
26,"Sunday, December 15, 2024","Saturday, December 28, 2024"
1,"Sunday, December 29, 2024","Saturday, January 11, 2025"
2,"Sunday, January 12, 2025","Saturday, January 25, 2025"
3,"Sunday, January 26, 2025","Saturday, February 8, 2025"
4,"Sunday, February 9, 2025","Saturday, February 22, 2025"
5,"Sunday, February 23, 2025","Saturday, March 8, 2025"
6,"Sunday, March 9, 2025","Saturday, March 22, 2025"
7,"Sunday, March 23, 2025","Saturday, April 5, 2025"
8,"Sunday, April 6, 2025","Saturday, April 19, 2025"
9,"Sunday, April 20, 2025","Saturday, May 3, 2025"
10,"Sunday, May 4, 2025","Saturday, May 17, 2025"
11,"Sunday, May 18, 2025","Saturday, May 31, 2025"
12,"Sunday, June 1, 2025","Saturday, June 14, 2025"
13,"Sunday, June 15, 2025","Saturday, June 28, 2025"
14,"Sunday, June 29, 2025","Saturday, July 12, 2025"
15,"Sunday, July 13, 2025","Saturday, July 26, 2025"
16,"Sunday, July 27, 2025","Saturday, August 9, 2025"
17,"Sunday, August 10, 2025","Saturday, August 23, 2025"
18,"Sunday, August 24, 2025","Saturday, September 6, 2025"
19,"Sunday, September 7, 2025","Saturday, September 20, 2025"
20,"Sunday, September 21, 2025","Saturday, October 4, 2025"
21,"Sunday, October 5, 2025","Saturday, October 18, 2025"
22,"Sunday, October 19, 2025","Saturday, November 1, 2025"
23,"Sunday, November 2, 2025","Saturday, November 15, 2025"
24,"Sunday, November 16, 2025","Saturday, November 29, 2025"
25,"Sunday, November 30, 2025","Saturday, December 13, 2025"
26,"Sunday, December 14, 2025","Saturday, December 27, 2025"
